id,neg,neu,pos,compound,polarity,subjectivity,flair_sentiment,Happy,Angry,Surprise,Sad,Fear
382,0.11,0.805,0.085,-0.5875,0.6056240161353798,0.4261658795749705,0.999153733253479,0.05,0.07,0.14,0.31,0.44
886,0.088,0.749,0.163,0.9659,0.602988677988678,0.5848817848817849,0.9117852449417114,0.23,0.1,0.31,0.13,0.23
292,0.076,0.679,0.245,0.9978,0.499375,0.4379166666666666,0.9850560128688812,0.06,0.01,0.53,0.19,0.19
280,0.047,0.739,0.215,0.9963,0.5716919191919192,0.40455106621773274,0.0006768405437469482,0.14,0.08,0.24,0.17,0.37
459,0.029,0.797,0.174,0.9744,0.5652777777777778,0.8438271604938271,0.9999146461486816,0.09,0.0,0.47,0.12,0.31
432,0.089,0.705,0.206,0.9989,0.4806628787878788,0.5875441919191922,0.00041812658309936523,0.09,0.1,0.15,0.36,0.31
42,0.068,0.756,0.177,0.9817,0.3704545454545455,0.6515151515151515,0.9996500015258789,0.04,0.04,0.35,0.37,0.21
968,0.0,1.0,0.0,0.0,0.5,0.0,0.9951587319374084,0,0,0,0,0
217,0.053,0.838,0.108,0.9382,0.47120098039215685,0.3144607843137256,0.06699272990226746,0.08,0.15,0.21,0.51,0.05
267,0.021,0.837,0.143,0.928,0.5541666666666667,0.37222222222222223,2.86102294921875e-06,0.08,0.0,0.46,0.15,0.31
225,0.093,0.844,0.063,-0.7759,0.44507575757575757,0.6,0.9984566569328308,0.11,0.0,0.37,0.37,0.16
780,0.168,0.692,0.141,-0.9737,0.4984772727272727,0.4461818181818182,0.013343781232833862,0.08,0.15,0.38,0.24,0.15
713,0.072,0.841,0.087,0.7973,0.5551136363636363,0.3818181818181818,0.23301109671592712,0.04,0.06,0.48,0.15,0.27
496,0.05,0.79,0.16,0.9931,0.5514741715399609,0.4721247563352821,0.9672195911407471,0.14,0.07,0.36,0.3,0.14
748,0.04,0.912,0.048,0.4199,0.4818452380952381,0.619204260651629,0.2430276870727539,0.04,0.06,0.4,0.27,0.23
448,0.0,1.0,0.0,0.0,0.5,0.0,0.943978875875473,0,0,0,0,0
751,0.174,0.621,0.204,0.9694,0.5461152882205513,0.5150375939849624,0.9970103800296783,0.04,0.22,0.3,0.33,0.11
692,0.047,0.873,0.08,0.981,0.5819642857142857,0.45988095238095245,0.7823865115642548,0.05,0.06,0.4,0.11,0.38
257,0.046,0.831,0.122,0.9599,0.5220168521954236,0.46799474335188623,2.6524066925048828e-05,0.02,0.1,0.23,0.33,0.31
906,0.038,0.83,0.132,0.9957,0.6863113897596657,0.43537095088819233,0.9936239123344421,0.23,0.01,0.52,0.03,0.2
970,0.079,0.793,0.128,0.9878,0.5404761904761904,0.5142857142857143,0.1892128884792328,0.11,0.05,0.23,0.36,0.25
823,0.264,0.659,0.077,-0.995,0.44597222222222227,0.576388888888889,0.12130886316299438,0.07,0.0,0.4,0.27,0.27
983,0.158,0.666,0.176,0.62,0.5500270562770563,0.5096981721981724,0.9735660552978516,0.06,0.0,0.18,0.29,0.47
415,0.0,1.0,0.0,0.0,0.5,0.0,0.99863201379776,0,0,0,0,0
399,0.136,0.749,0.115,-0.9404,0.5135135135135135,0.32545045045045046,0.0985497534275055,0.14,0.17,0.21,0.31,0.17
278,0.056,0.815,0.129,0.9832,0.5280555555555555,0.4872222222222222,0.9093864858150482,0.02,0.09,0.39,0.28,0.22
336,0.101,0.71,0.189,0.9843,0.6018689196108551,0.5822324628776241,0.9996115565299988,0.19,0.0,0.46,0.23,0.12
744,0.08,0.766,0.154,0.9826,0.570031746031746,0.3248412698412699,0.0643414855003357,0.23,0.13,0.17,0.25,0.22
747,0.123,0.728,0.15,0.9196,0.6305555555555555,0.6202380952380954,0.9999398589134216,0.16,0.02,0.61,0.08,0.12
269,0.048,0.784,0.168,0.9772,0.5435639880952381,0.5423363095238096,0.9942250847816467,0.0,0.14,0.49,0.14,0.24
501,0.064,0.724,0.211,0.9973,0.5529816919191919,0.5607222222222222,0.9849865734577179,0.23,0.01,0.3,0.14,0.32
339,0.074,0.683,0.243,0.9955,0.6615824915824916,0.6707744107744105,0.9999000728130341,0.26,0.02,0.21,0.25,0.26
844,0.061,0.805,0.134,0.9705,0.5980519480519481,0.5258297258297259,0.9995621144771576,0.17,0.0,0.19,0.39,0.25
827,0.024,0.576,0.4,0.9985,0.6749999999999999,0.48666666666666664,0.9994417726993561,0.66,0.0,0.06,0.0,0.28
804,0.012,0.789,0.199,0.9967,0.6507457386363636,0.6195312499999999,0.0008334815502166748,0.3,0.09,0.26,0.23,0.13
718,0.041,0.859,0.1,0.9519,0.5053683385579937,0.45676593521421116,0.9248964786529541,0.0,0.09,0.29,0.3,0.32
333,0.01,0.929,0.061,0.9603,0.5392857142857143,0.8321428571428572,0.20255085825920105,0.11,0.09,0.63,0.14,0.03
862,0.076,0.597,0.327,0.9972,0.5540088383838384,0.5038600288600289,0.9876869022846222,0.13,0.04,0.26,0.11,0.46
752,0.179,0.73,0.091,-0.9791,0.5169656911375662,0.4691812169312169,0.0020796358585357666,0.03,0.05,0.26,0.42,0.24
554,0.031,0.841,0.128,0.9694,0.5190509259259259,0.3375925925925926,0.9984172284603119,0.06,0.12,0.18,0.29,0.35
441,0.034,0.879,0.086,0.955,0.48935185185185187,0.6820105820105821,0.813782274723053,0.16,0.03,0.23,0.26,0.32
907,0.101,0.809,0.09,-0.8361,0.5163828130933394,0.4088377266008846,0.13116958737373352,0.05,0.21,0.26,0.23,0.26
918,0.0,1.0,0.0,0.0,0.5,0.0,0.9984365999698639,0,0,0,0,0
536,0.058,0.849,0.093,0.7202,0.5219922438672439,0.3238455988455989,0.9522382020950317,0.04,0.16,0.3,0.26,0.24
809,0.122,0.678,0.2,0.9932,0.5827272727272728,0.6279797979797981,0.9984235465526581,0.16,0.07,0.08,0.58,0.1
649,0.036,0.765,0.198,0.9896,0.62109375,0.5473958333333333,0.7894382178783417,0.16,0.2,0.2,0.29,0.14
599,0.097,0.677,0.226,0.9965,0.6893097643097643,0.47845117845117846,0.9425771534442902,0.11,0.09,0.46,0.2,0.14
771,0.264,0.559,0.177,-0.9859,0.5,0.7066666666666667,0.9992755949497223,0.14,0.0,0.14,0.25,0.46
580,0.112,0.838,0.05,-0.924,0.4267156862745098,0.4509803921568627,0.9936710298061371,0.04,0.07,0.25,0.25,0.38
372,0.024,0.854,0.122,0.9962,0.609591594349771,0.49312975160432787,0.9982318580150604,0.06,0.05,0.24,0.19,0.45
755,0.0,1.0,0.0,0.0,0.5,0.0,0.9949625730514526,0,0,0,0,0
795,0.126,0.794,0.08,-0.9965,0.47378601061636777,0.49875467503018506,0.012509942054748535,0.11,0.09,0.27,0.28,0.24
635,0.153,0.748,0.099,-0.9347,0.6596666666666666,0.8019999999999999,0.9839054346084595,0.47,0.12,0.3,0.03,0.08
185,0.061,0.794,0.145,0.9956,0.6224408222591362,0.5210963455149504,0.9998140335083008,0.04,0.02,0.08,0.73,0.15
332,0.088,0.708,0.204,0.9878,0.5781481481481482,0.5725925925925924,0.7576952576637268,0.17,0.0,0.4,0.3,0.12
932,0.035,0.699,0.266,0.9977,0.5678571428571428,0.7172619047619043,0.939894825220108,0.36,0.01,0.39,0.19,0.05
596,0.0,1.0,0.0,0.0,0.5740909090909091,0.4972727272727272,0.9998652637004852,0.0,0.0,0.65,0.15,0.2
72,0.049,0.866,0.085,0.9249,0.5421791443850268,0.33070409982174687,0.9829646944999695,0.11,0.04,0.44,0.33,0.07
687,0.103,0.822,0.075,-0.9782,0.5438095238095239,0.4233333333333334,0.07168754935264587,0.09,0.13,0.27,0.32,0.2
966,0.054,0.854,0.092,0.9637,0.5396412037037037,0.38009259259259265,0.8902848958969116,0.05,0.06,0.52,0.23,0.14
110,0.0,1.0,0.0,0.0,0.45,0.7,0.12374025583267212,0.0,0.07,0.73,0.13,0.07
938,0.021,0.888,0.092,0.9606,0.5276515151515151,0.43106060606060603,0.999647855758667,0.06,0.39,0.17,0.22,0.17
605,0.069,0.833,0.098,0.955,0.5368834016860333,0.4292027417027418,0.991262286901474,0.06,0.09,0.35,0.4,0.1
679,0.074,0.797,0.13,0.9253,0.5814236111111111,0.6611111111111111,0.9983018040657043,0.16,0.08,0.18,0.53,0.06
147,0.168,0.752,0.079,-0.9517,0.4373148148148148,0.4909259259259261,0.013417065143585205,0.07,0.0,0.48,0.07,0.37
265,0.05,0.727,0.223,0.9938,0.6638888888888889,0.4244444444444444,0.0006298720836639404,0.18,0.0,0.59,0.16,0.06
101,0.062,0.812,0.127,0.9749,0.48097273097273097,0.4726088726088725,0.0008243322372436523,0.05,0.06,0.39,0.29,0.21
275,0.038,0.911,0.051,0.4182,0.5218310657596372,0.5836507936507936,0.8604379892349243,0.07,0.02,0.38,0.44,0.09
352,0.094,0.813,0.093,-0.4956,0.5407549698565324,0.48005427731990236,0.24108463525772095,0.08,0.22,0.32,0.15,0.22
652,0.025,0.94,0.036,0.4306,0.4438910934744268,0.2986728395061725,0.9938303828239441,0.05,0.0,0.37,0.42,0.16
433,0.07,0.777,0.153,0.9937,0.602632286476626,0.5283692722371969,0.9876498878002167,0.09,0.01,0.32,0.31,0.28
375,0.061,0.67,0.269,0.9993,0.65053743521218,0.5068302559118889,0.998498797416687,0.34,0.04,0.06,0.28,0.28
888,0.041,0.693,0.266,0.9979,0.6970689655172413,0.6248275862068966,0.9996517896652222,0.21,0.08,0.23,0.27,0.21
215,0.139,0.754,0.107,-0.9948,0.632449494949495,0.4615555555555555,0.9959466457366943,0.22,0.08,0.33,0.02,0.36
885,0.094,0.788,0.119,0.9193,0.5027636054421769,0.4733843537414965,9.000301361083984e-06,0.15,0.09,0.28,0.13,0.34
937,0.166,0.763,0.071,-0.9874,0.5313225538971807,0.4398424543946927,0.9996720850467682,0.09,0.09,0.14,0.29,0.4
171,0.231,0.681,0.088,-0.978,0.4730034722222222,0.5131944444444445,0.9998169541358948,0.0,0.0,0.15,0.08,0.77
765,0.098,0.719,0.182,0.9887,0.5201388888888889,0.27222222222222225,0.06938546895980835,0.03,0.28,0.42,0.14,0.12
850,0.081,0.879,0.04,-0.9512,0.5720220588235294,0.3645343137254902,0.9930995106697083,0.06,0.06,0.14,0.45,0.3
836,0.017,0.454,0.528,0.9999,0.7992857142857144,0.7798168498168497,0.9981485307216644,0.13,0.04,0.2,0.01,0.62
517,0.132,0.762,0.106,-0.9835,0.5056712962962963,0.42094907407407406,0.057983338832855225,0.11,0.1,0.16,0.4,0.23
776,0.148,0.738,0.114,-0.8336,0.6857744107744108,0.5097643097643098,0.9974904358386993,0.3,0.04,0.25,0.13,0.28
67,0.069,0.733,0.197,0.9918,0.5302083333333333,0.375,0.891551673412323,0.03,0.23,0.3,0.34,0.09
277,0.157,0.74,0.104,-0.9927,0.5769593253968254,0.5306547619047619,0.0044987499713897705,0.1,0.12,0.18,0.38,0.22
144,0.0,1.0,0.0,0.0,0.5,0.0,0.9998659789562225,0,0,0,0,0
140,0.035,0.831,0.133,0.9835,0.46013933982683985,0.4663690476190477,0.9825340211391449,0.11,0.09,0.34,0.3,0.16
985,0.09,0.839,0.071,-0.5859,0.5265111245343803,0.33447397563676634,0.06513753533363342,0.23,0.02,0.12,0.3,0.33
287,0.026,0.823,0.151,0.9965,0.6131042568542568,0.41913780663780675,0.9918099045753479,0.14,0.05,0.21,0.29,0.32
158,0.0,1.0,0.0,0.0,0.5,0.0,0.9920144975185394,0,0,0,0,0
558,0.055,0.841,0.105,0.9855,0.5273369047619048,0.5261238095238094,0.8246656954288483,0.13,0.02,0.35,0.23,0.27
181,0.023,0.899,0.079,0.9924,0.5351206911474768,0.3959706298992014,0.9999465942382812,0.05,0.07,0.63,0.16,0.09
230,0.083,0.788,0.129,0.9557,0.5983559136336914,0.4390425418203196,0.9999380707740784,0.13,0.17,0.37,0.16,0.17
643,0.062,0.938,0.0,-0.9595,0.5,0.0,0.04597631096839905,0.0,0.0,1.0,0.0,0.0
149,0.164,0.7,0.135,-0.0571,0.7041666666666666,0.3916666666666666,0.9911662638187408,0.03,0.47,0.2,0.1,0.2
405,0.068,0.543,0.389,0.9995,0.6743263539181906,0.5625198780811025,0.08717331290245056,0.13,0.03,0.27,0.45,0.12
600,0.169,0.628,0.203,0.3818,0.46629629629629626,0.4518518518518519,0.0012413263320922852,0.19,0.05,0.3,0.41,0.05
38,0.059,0.753,0.188,0.9966,0.6374125874125873,0.4276223776223776,0.07107090950012207,0.08,0.06,0.31,0.21,0.35
233,0.114,0.711,0.175,0.9594,0.5676603699330972,0.5371080939262758,0.9990091919898987,0.18,0.09,0.38,0.23,0.12
889,0.129,0.835,0.037,-0.9739,0.616358024691358,0.4626543209876542,0.004721343517303467,0.07,0.07,0.25,0.27,0.35
631,0.117,0.79,0.093,-0.9807,0.4288425925925926,0.6955010893246188,0.9998637139797211,0.1,0.02,0.3,0.35,0.24
235,0.033,0.725,0.242,0.9989,0.6429761904761905,0.47803244374672954,0.0050452351570129395,0.29,0.01,0.13,0.38,0.19
588,0.01,0.764,0.226,0.9994,0.5502246732026144,0.5055555555555558,0.9797024726867676,0.26,0.15,0.3,0.15,0.14
159,0.161,0.767,0.072,-0.9856,0.5331018518518519,0.5745370370370371,0.9849594235420227,0.07,0.14,0.09,0.45,0.25
572,0.198,0.554,0.248,0.9783,0.7871768707482993,0.7361904761904764,0.04212114214897156,0.15,0.02,0.04,0.72,0.08
678,0.036,0.574,0.39,0.9996,0.7680232558139535,0.5779069767441861,0.9972553253173828,0.46,0.13,0.12,0.24,0.05
44,0.0,0.744,0.256,0.9992,0.6097029320987655,0.39228395061728377,0.9990772306919098,0.27,0.04,0.14,0.36,0.18
516,0.079,0.639,0.282,0.9991,0.5226892857142857,0.5375619047619047,0.99236860871315,0.36,0.06,0.14,0.19,0.24
228,0.132,0.793,0.075,-0.9712,0.5296179514929514,0.4770826395826396,0.04671752452850342,0.09,0.15,0.24,0.21,0.3
500,0.075,0.787,0.138,0.9825,0.5678160919540229,0.6324712643678162,0.0020840466022491455,0.1,0.1,0.14,0.41,0.24
167,0.107,0.674,0.218,0.9929,0.5242013888888889,0.5860555555555557,0.03938716650009155,0.19,0.06,0.43,0.11,0.22
298,0.042,0.912,0.046,0.3612,0.5224720752498531,0.3027630805408584,0.9963617622852325,0.15,0.11,0.19,0.38,0.17
561,0.026,0.922,0.052,0.8462,0.5062454906204906,0.46820436507936497,0.9994929730892181,0.44,0.06,0.19,0.19,0.11
518,0.063,0.8,0.136,0.9924,0.6383064516129032,0.5731182795698925,0.9524554312229156,0.23,0.07,0.1,0.26,0.34
